PCP,Well,Date,Time,THP,THT,Status,PLATFORM,WELL,StatusUPD
658.1021123507458,A015S,2019-01-01,0,87.10764830193968,46.11450730869836,1,Samarang,,1
652.7439659371304,A015S,2019-01-02,0,86.70048222975036,45.537679151206426,1,Samarang,,1
655.0277723918643,A015S,2019-01-03,0,86.19824970389872,45.959137893448265,1,Samarang,,1
653.7698059055933,A015S,2019-01-04,0,86.10895640980848,47.721254104764306,1,Samarang,,1
653.3769563434721,A015S,2019-01-05,0,85.33263573963033,50.7093988171757,1,Samarang,,1
653.5028452125297,A015S,2019-01-06,0,80.6650294046076,48.19117164119474,1,Samarang,,1
662.0222318185251,A015S,2019-01-07,0,81.11900033521847,47.589456324848044,1,Samarang,,1
663.1979829703804,A015S,2019-01-08,0,82.25197604285262,44.835856875131235,1,Samarang,,1
664.9220115876562,A015S,2019-01-09,0,79.00165335459033,49.12686670217291,1,Samarang,,1
664.1476858437517,A015S,2019-01-10,0,78.25494910516196,51.28321394188964,1,Samarang,,1
662.086919306557,A015S,2019-01-11,0,77.77365665476793,54.70005309344042,1,Samarang,,1
661.8688087971083,A015S,2019-01-12,0,75.09056229714932,41.298280295268924,1,Samarang,,1
661.5472592727957,A015S,2019-01-13,0,78.2715718204586,46.37861591006937,1,Samarang,,1
661.534230848807,A015S,2019-01-14,0,74.97791778047674,46.11236432687511,1,Samarang,,1
662.7154562194172,A015S,2019-01-15,0,71.03456307209089,46.772178798098295,1,Samarang,,1
673.8521745730282,A015S,2019-01-16,0,75.51540664234213,49.27036249478436,1,Samarang,,1
673.614925724098,A015S,2019-01-17,0,74.1312632002948,49.71788189389582,1,Samarang,,1
717.0688156426428,A015S,2019-01-18,0,76.9443725888497,49.65401713211076,1,Samarang,,1
760.6067635898137,A015S,2019-01-19,0,80.94676067632402,54.01281470206661,1,Samarang,,1
816.6022297701397,A015S,2019-01-20,0,85.30124283395136,54.34708120514791,1,Samarang,,1
818.6027455699757,A015S,2019-01-21,0,82.93220141803766,50.688354954357635,1,Samarang,,1
824.0982162862173,A015S,2019-01-22,0,85.59810504848403,53.657171571059465,1,Samarang,,1
808.452204670691,A015S,2019-01-23,0,84.12363971654001,53.292781301730436,1,Samarang,,1
810.1591957869562,A015S,2019-01-24,0,84.2330699875116,56.25771535548663,1,Samarang,,1
809.4871233761617,A015S,2019-01-25,0,83.9343239973256,54.425550956769555,1,Samarang,,1
808.3681347449261,A015S,2019-01-26,0,83.89905942261824,54.48202733399225,1,Samarang,,1
818.189481655618,A015S,2019-01-27,0,85.56854898020076,57.58909067687908,1,Samarang,,1
812.9064988104473,A015S,2019-01-28,0,82.94945461797194,55.16922971375483,1,Samarang,,1
811.8369914158678,A015S,2019-01-29,0,82.83989723815013,55.27097027920859,1,Samarang,,1
812.5098911653508,A015S,2019-01-30,0,82.31804311081041,55.297223534048214,1,Samarang,,1
811.9427207418925,A015S,2019-01-31,0,82.12921471735082,55.24463174861073,1,Samarang,,1
801.04448465844,A015S,2019-02-01,0,81.54785111337686,56.30311747114148,1,Samarang,,1
801.2156774196604,A015S,2019-02-02,0,84.8640232918109,55.20514826912335,1,Samarang,,1
800.4706852371709,A015S,2019-02-03,0,3.403921332221105,58.3357578125362,1,Samarang,,1
810.2781749518234,A015S,2019-02-04,0,3.6860817918955076,56.50164428122919,1,Samarang,,1
805.4791959642366,A015S,2019-02-05,0,3.6872848492253776,55.20377502839811,1,Samarang,,1
831.964640722006,A015S,2019-02-06,0,3.9784350001173747,54.456705452639106,1,Samarang,,1
821.7461549701494,A015S,2019-02-07,0,3.9834404978168387,53.64843042002764,1,Samarang,,1
817.9448675142592,A015S,2019-02-08,0,3.977552548089179,52.47973035540503,1,Samarang,,1
819.7941981535458,A015S,2019-02-09,0,3.977973371723018,61.032969999254995,1,Samarang,,1
813.2312854968274,A015S,2019-02-10,0,3.974451539994126,55.59205505577216,1,Samarang,,1
806.7277998728235,A015S,2019-02-11,0,81.7541298349845,54.649203083882966,1,Samarang,,1
832.520772969081,A015S,2019-02-12,0,80.53727157644346,55.36696035536769,1,Samarang,,1
826.2457848856585,A015S,2019-02-13,0,80.49483123097491,52.946283292117,1,Samarang,,1
830.432034052988,A015S,2019-02-14,0,80.7630670758968,53.93233617653091,1,Samarang,,1
832.4415465109636,A015S,2019-02-15,0,80.72213177897785,54.60535199437718,1,Samarang,,1
830.8374483094997,A015S,2019-02-16,0,80.82410002033254,53.50278929613318,1,Samarang,,1
828.8956420275596,A015S,2019-02-17,0,80.62518143655099,53.32491812644783,1,Samarang,,1
833.3914180001225,A015S,2019-02-18,0,83.76532668591348,52.884949486866674,1,Samarang,,1
827.553812678169,A015S,2019-02-19,0,83.27489927265162,55.90613046221775,1,Samarang,,1
825.4481738533775,A015S,2019-02-20,0,83.50285029699032,51.84428449754036,1,Samarang,,1
824.7957693085913,A015S,2019-02-21,0,83.54058215443581,52.44996394829503,1,Samarang,,1
823.4392231312099,A015S,2019-02-22,0,83.55341720959917,55.04635894762131,1,Samarang,,1
821.9542490667606,A015S,2019-02-23,0,83.56921172224182,55.180054646764425,1,Samarang,,1
821.8365018439783,A015S,2019-02-24,0,83.23816298522934,56.300322669128185,1,Samarang,,1
819.9738733782721,A015S,2019-02-25,0,83.51013147066529,53.01107887954337,1,Samarang,,1
818.0442653611548,A015S,2019-02-26,0,82.9337970992375,41.10076202474611,1,Samarang,,1
817.7604942696727,A015S,2019-02-27,0,83.17671507016067,52.353417639576946,1,Samarang,,1
823.0540512308438,A015S,2019-02-28,0,85.10534519099915,52.203096174765776,1,Samarang,,1
834.666616858439,A015S,2019-03-01,0,85.86075788466682,53.89592461459688,1,Samarang,,1
827.0613652061439,A015S,2019-03-02,0,85.16357878695366,50.88839508080398,1,Samarang,,1
827.9411417164735,A015S,2019-03-03,0,83.33259768160845,52.830959219286235,1,Samarang,,1
827.2546796326536,A015S,2019-03-04,0,83.62113680684952,54.43652242354238,1,Samarang,,1
825.6194926197171,A015S,2019-03-05,0,83.292004564081,50.42623570763637,1,Samarang,,1
812.3698871178984,A015S,2019-03-06,0,82.70564083485444,49.46986671686406,1,Samarang,,1
818.9437392064589,A015S,2019-03-07,0,83.4841596929125,53.54945568545013,1,Samarang,,1
828.5975983175836,A015S,2019-03-08,0,85.30339026889095,51.85253813805663,1,Samarang,,1
830.7176870839759,A015S,2019-03-09,0,85.75610106830695,55.547955144588016,1,Samarang,,1
830.6796352295764,A015S,2019-03-10,0,84.8262399614048,55.45002954592512,1,Samarang,,1
831.4558771783386,A015S,2019-03-11,0,85.85693963853885,52.02655898225202,1,Samarang,,1
828.4963188524264,A015S,2019-03-12,0,85.73044300587995,50.85647582421146,1,Samarang,,1
828.4793792375317,A015S,2019-03-13,0,86.3257237113364,53.11315717585761,1,Samarang,,1
828.6963002319428,A015S,2019-03-14,0,84.76872395847148,54.322550748545,1,Samarang,,1
